rule_name,article_name,article_text
О внесении изменений в статью 26 Федерального закона О банках и банковской деятельности и Федеральный закон О противодействии коррупции,Статья 2,"Федеральный  закон  от 25 декабря 2008 года N 273-ФЗ ""О противодействии коррупции"" (Собрание законодательства Российской Федерации, 2008, N 52, ст. 6228) дополнить статьей 8.2 следующего содержания: ""Статья 8.2. Контроль за законностью получения денежных средств 1. В случае, если в ходе осуществления проверки достоверности и полноты сведений о доходах, об имуществе и обязательствах имущественного характера получена информация о том, что в течение года, предшествующего году представления указанных сведений (отчетный период), на счета лица, представившего указанные сведения (далее - проверяемое лицо), его супруги (супруга) и несовершеннолетних детей в банках и (или) иных кредитных организациях поступили денежные средства в сумме, превышающей их совокупный доход за отчетный период и предшествующие два года, лица, осуществляющие такую проверку, обязаны истребовать у проверяемого лица сведения, подтверждающие законность получения этих денежных средств. 2. В случае непредставления проверяемым лицом сведений, подтверждающих законность получения этих денежных средств, или представления недостоверных сведений материалы проверки в трехдневный срок после ее завершения направляются лицом, принявшим решение о ее осуществлении, в органы прокуратуры Российской Федерации. 3. В случае увольнения (прекращения полномочий) проверяемого лица, в отношении которого осуществляется проверка, указанная в части 1 настоящей статьи, до ее завершения и при наличии информации о том, что в течение отчетного периода на счета этого проверяемого лица, его супруги (супруга) и несовершеннолетних детей в банках и (или) иных кредитных организациях поступили денежные средства в сумме, превышающей их совокупный доход за отчетный период и предшествующие два года, материалы проверки в трехдневный срок после увольнения (прекращения полномочий) указанного лица направляются лицом, принявшим решение о ее осуществлении, в органы прокуратуры Российской Федерации. 4. Генеральный прокурор Российской Федерации или подчиненные ему прокуроры не позднее 10 рабочих дней со дня получения материалов, указанных в части 3 настоящей статьи, принимают решение об осуществлении проверки законности получения денежных средств, указанных в части 3 настоящей статьи, отдельно в отношении каждого проверяемого лица. Решение оформляется в письменной форме. 5. Генеральный прокурор Российской Федерации или подчиненные ему прокуроры не позднее чем через два рабочих дня со дня принятия решения, указанного в части 4 настоящей статьи, обязаны в письменной форме уведомить проверяемое лицо о принятом в отношении него решении, а также о необходимости представления этим лицом сведений, подтверждающих законность получения денежных средств, указанных в части 2 настоящей статьи. 6. Проверка, указанная в части 4 настоящей статьи, проводится прокурорами. 7. Проверка, указанная в части 4 настоящей статьи, не может проводиться по истечении шести месяцев со дня увольнения (прекращения полномочий) проверяемого лица. 8. При проведении проверки, указанной в части 4 настоящей статьи, проверяемое лицо вправе: 1) давать пояснения в письменной форме об источниках поступления денежных средств на свои счета, счета своих супруги (супруга) и несовершеннолетних детей в банках и (или) иных кредитных организациях; 2) представлять дополнительные материалы и давать по ним пояснения в письменной форме; 3) обращаться к прокурору с ходатайством о проведении с ним беседы по вопросам, связанным с осуществлением данной проверки. Ходатайство подлежит обязательному удовлетворению. 9. Генеральный прокурор Российской Федерации или подчиненные ему прокуроры при осуществлении проверки, указанной в части 4 настоящей статьи, обязаны: 1) истребовать у проверяемого лица сведения, подтверждающие законность получения денежных средств, указанных в части 3 настоящей статьи; 2) изучать дополнительные материалы, представленные проверяемым лицом; 3) провести беседу с проверяемым лицом в случае поступления ходатайства, предусмотренного пунктом 3 части 8 настоящей статьи. 10. Генеральный прокурор Российской Федерации или подчиненные ему прокуроры при осуществлении проверки, указанной в части 4 настоящей статьи, вправе: 1) проводить по своей инициативе беседу с проверяемым лицом; 2) получать от проверяемого лица пояснения по представленным им сведениям и материалам; 3) направлять в установленном порядке запросы в федеральные государственные органы, государственные органы субъектов Российской Федерации, органы местного самоуправления, общественные объединения и иные организации об имеющейся у них информации о доходах, об имуществе и обязательствах имущественного характера проверяемого лица, его супруги (супруга) и несовершеннолетних детей, а также об источниках поступления денежных средств на их счета в банках и (или) иных кредитных организациях. Запросы в кредитные организации, налоговые органы Российской Федерации, органы, осуществляющие государственную регистрацию прав на недвижимое имущество и сделок с ним, операторам информационных систем, в которых осуществляется выпуск цифровых финансовых активов, а также в уполномоченный орган в сфере противодействия легализации (отмыванию) доходов, полученных преступным путем, финансированию терроризма и финансированию распространения оружия массового уничтожения направляются Генеральным прокурором Российской Федерации, заместителями Генерального прокурора Российской Федерации, прокурорами субъектов Российской Федерации, военными и другими специализированными прокурорами, приравненными к прокурорам субъектов Российской Федерации; 4) наводить справки у физических лиц и получать от них с их согласия информацию. 11. Руководители государственных органов, органов местного самоуправления, организаций, получившие запрос, указанный в пункте 3 части 10 настоящей статьи, обязаны организовать его исполнение в соответствии с федеральными законами и иными нормативными правовыми актами Российской Федерации и представить в установленном порядке запрашиваемую информацию. 12. Порядок рассмотрения материалов проверки, указанной в части 4 настоящей статьи, определяется Генеральным прокурором Российской Федерации. 13. Генеральный прокурор Российской Федерации или подчиненные ему прокуроры после завершения проверки, указанной в части 4 настоящей статьи, информируют о ее результатах лицо, направившее в органы прокуратуры Российской Федерации материалы в соответствии с частью 3 настоящей статьи. 14. Генеральный прокурор Российской Федерации или подчиненные ему прокуроры, получившие материалы, указанные в части 2 настоящей статьи, рассматривают их в пределах своей компетенции, установленной Федеральным  законом  ""О прокуратуре Российской Федерации"", и не позднее четырех месяцев со дня получения этих материалов при наличии оснований обращаются в суд в порядке, предусмотренном законодательством о гражданском судопроизводстве, с заявлением о взыскании в доход Российской Федерации денежной суммы в размере, эквивалентном той части денежных средств, указанных в части 1 настоящей статьи, в отношении которой не получены достоверные сведения, подтверждающие законность получения этих средств, если размер взыскиваемых средств превышает десять тысяч рублей. 15. Генеральный прокурор Российской Федерации или подчиненные ему прокуроры рассматривают материалы проверки, указанной в части 4 настоящей статьи, и не позднее одного месяца со дня ее окончания при наличии оснований обращаются в суд в порядке, предусмотренном законодательством о гражданском судопроизводстве, с заявлением о взыскании в доход Российской Федерации денежной суммы в размере, эквивалентном той части денежных средств, указанных в части 3 настоящей статьи, в отношении которой не представлены сведения, подтверждающие законность получения этих средств, если размер взыскиваемых средств превышает десять тысяч рублей. 16. Генеральный прокурор Российской Федерации или подчиненные ему прокуроры направляют информацию о результатах рассмотрения судами заявлений, указанных в частях 14 и 15 настоящей статьи, в орган публичной власти или организацию, в которых лицо, в отношении которого осуществлялись проверки, указанные в частях 1 и 4 настоящей статьи, замещает или замещало должность. 17. Порядок направления информации, указанной в части 16 настоящей статьи, определяется Генеральным прокурором Российской Федерации."". Президент Российской Федерации В.ПУТИН Москва, Кремль 6 марта 2022 года N 44-ФЗ"
О внесении изменения в статью 3 Федерального закона О внесении изменений и дополнений в Уголовно - процессуальный кодекс РСФСР и Исправительно - трудовой кодекс РСФСР в связи с принятием Уголовного кодекса Российской Федерации,Статья 2,
О внесении изменения в статью 3 Федерального закона О внесении изменений и дополнений в Уголовно - процессуальный кодекс РСФСР и Исправительно - трудовой кодекс РСФСР в связи с принятием Уголовного кодекса Российской Федерации,Статья 3,"Президент Российской Федерации Б.ЕЛЬЦИН Москва, Кремль. 26 февраля 1997 года. N 44-ФЗ"
О внесении изменения в статью 3 Федерального закона О внесении изменений и дополнений в Уголовно - процессуальный кодекс РСФСР и Исправительно - трудовой кодекс РСФСР в связи с принятием Уголовного кодекса Российской Федерации,Статья 1,"""Статья 3. Настоящий Федеральный закон вступает в силу с 1 января 1997 года, за исключением части второй  статьи 15  Уголовно - процессуального кодекса РСФСР в редакции настоящего Федерального закона, которая вступает в силу с 1 июля 1998 года.""."
О потребительской корзине в целом по Российской Федерации,Статья 2,"1. Настоящий Федеральный закон вступает в силу со дня его официального опубликования. 2. Действие настоящего Федерального закона распространяется на правоотношения, возникшие с 1 января 2005 года. Президент Российской Федерации В.ПУТИН Москва, Кремль 31 марта 2006 года N 44-ФЗ"
Об исполнении бюджета Пенсионного фонда Российской Федерации за 2003 год,"Приложение 5. ДОХОДЫ И РАСХОДЫ БЮДЖЕТА ПЕНСИОННОГО ФОНДА РОССИЙСКОЙ ФЕДЕРАЦИИ, СВЯЗАННЫЕ С ФОРМИРОВАНИЕМ СРЕДСТВ ДЛЯ ФИНАНСИРОВАНИЯ НАКОПИТЕЛЬНОЙ ЧАСТИ ТРУДОВЫХ ПЕНСИЙ, ЗА 2003 ГОД","к Федеральному закону ""Об исполнении бюджета Пенсионного фонда Российской Федерации за 2003 год"" ДОХОДЫ И РАСХОДЫ БЮДЖЕТА ПЕНСИОННОГО ФОНДА РОССИЙСКОЙ ФЕДЕРАЦИИ, СВЯЗАННЫЕ С ФОРМИРОВАНИЕМ СРЕДСТВ ДЛЯ ФИНАНСИРОВАНИЯ НАКОПИТЕЛЬНОЙ ЧАСТИ ТРУДОВЫХ ПЕНСИЙ, ЗА 2003 ГОД ┌─────────────────────────────────────────────────┬──────────────┐ │                   Наименование                  │   Кассовое   │ │                                                 │  исполнение  │ │                                                 │(тыс. рублей) │ └─────────────────────────────────────────────────┴──────────────┘  Средства пенсионных накоплений по состоянию   на  1 января 2003 года, всего                           38 972 867,9       в том числе:  средства пенсионных накоплений по состоянию   на  1 января 2003 года, направленные   на  временное  размещение    в   разрешенные  законодательством  Российской Федерации виды активов                   34 485 237,9       из них:     страховые    взносы  на  накопительную  часть     трудовой  пенсии,  поступившие  в Фонд в 2002     году                                             33 378 177,9     средства, составляющие финансовый  результат,     полученный  от  временного  размещения Фондом     средств        пенсионных         накоплений,     сформировавшихся в 2002 году                      1 107 060,0  остаток  средств,   связанных   с  формированием  средств  для  финансирования накопительной части  трудовых  пенсий,  не  переданных  на  временное  размещение по состоянию на 1 января 2003 года        4 487 630,0  Доходы, связанные с формированием средств    для  финансирования  накопительной   части   трудовых  пенсий, всего                                       52 759 616,1       в том числе:  сформировавшиеся   за  счет  страховых  взносов,  поступивших в Фонд в 2003 году, всего               48 886 200,3       из них:     страховые взносы на накопительную часть     трудовой пенсии                                  46 674 736,8     страховые   взносы  в   виде   фиксированного     платежа  на   накопительную   часть  трудовой     пенсии                                              943 410,6     средства, составляющие финансовый  результат,     полученный  от   временного размещения Фондом     средств        пенсионных         накоплений,     сформировавшихся в 2003 году                      1 268 052,9  сформировавшиеся  за  счет  средств   пенсионных  накоплений 2002 года, всего                          3 869 527,9       из них:     средства, составляющие финансовый  результат,     полученный  от  временного размещения средств     пенсионных  накоплений,  сформировавшихся   в     2002 году                                         3 869 527,9  проценты банков                                          3 887,9  Расходы, связанные с формированием  средств  для  финансирования  накопительной  части    трудовых  пенсий, всего                                        1 280 699,1       в том числе:  финансируемые  за   счет    средств   пенсионных  накоплений 2003 года                                   836 700,7       из них:     оплата  расходов,   связанных   с   временным     размещением  средств  пенсионных   накоплений     2003 года, сформировавшихся в 2003 году              13 396,5     передача  средств    пенсионных   накоплений,     сформировавшихся  в  2003 году,  на временное     размещение  в  разрешенные  законодательством     Российской Федерации виды активов                         0,0     уплаченный купонный доход                           823 304,2  финансируемые  за   счет   средств    пенсионных  накоплений 2002 года                                   443 998,4       из них:     оплата    расходов,  связанных  с    ведением     специальной  части   индивидуальных   лицевых     счетов   застрахованных   лиц,   обеспечением     формирования средств пенсионных накоплений  и     выплаты накопительной части трудовых пенсий         331 605,0     оплата  расходов,   связанных   с   временным     размещением средств, составляющих  финансовый     результат,   полученный   в   2003   году  от     временного   размещения   средств  пенсионных     накоплений, сформировавшихся в 2002 году             10 050,1     оплата расходов,    связанных  с  реализацией     активов,   приобретенных    за  счет  средств     пенсионных   накоплений (по  состоянию  на  1     января  2003   года),   а   также    средств,     составляющих финансовый результат, полученный     в  2003 году от временного размещения  Фондом     средств        пенсионных         накоплений,     сформировавшихся в 2002 году, для последующей     передачи управляющим компаниям                            0,0     суммарные расходы Фонда на оплату необходимых     расходов     управляющих     компаний      по     инвестированию средств пенсионных накоплений              0,0     средства, составляющие финансовый  результат,     полученный от временного размещения    Фондом     средств пенсионных  накоплений (по  состоянию     на  1  января  2003  года),   для    передачи     управляющим компаниям                                     0,0     уплаченный купонный доход                           102 343,3  Курсовая разница                                       -35 457,1  Средства пенсионных накоплений по  состоянию  на  1 января 2004 года, всего                           90 416 327,8       в том числе:     пенсионные  накопления,  сформировавшиеся  за     счет страховых взносов на накопительную часть     трудовой  пенсии,  поступивших  в Фонд в 2002     году, переданные управляющим компаниям                    0,0     пенсионные  накопления,  сформировавшиеся  за     счет страховых взносов на накопительную часть     трудовой  пенсии,  поступивших  в Фонд в 2002     году,  направленные на временное размещение в     разрешенные   законодательством    Российской     Федерации виды активов                           40 756 791,2     пенсионные  накопления,   сформировавшиеся  в     2003  году,    направленные  на     временное     размещение  в  разрешенные  законодательством     Российской Федерации виды активов                41 548 612,1     остаток средств,  связанных  с  формированием     средств   для   финансирования  накопительной     части  трудовых  пенсий,  не  переданных   на     временное размещение по состоянию на 1 января     2004 года                                         8 110 924,5 ──────────────────────────────────────────────────────────────────"
Об исполнении бюджета Федерального фонда обязательного медицинского страхования за 1997 год,Статья 2,"Президент Российской Федерации Б.ЕЛЬЦИН Москва, Кремль 3 марта 1999 года N 44-ФЗ"
Об исполнении бюджета Федерального фонда обязательного медицинского страхования за 1997 год,Приложение. РАСПРЕДЕЛЕНИЕ СУБВЕНЦИЙ НА ВЫРАВНИВАНИЕ УСЛОВИЙ ДЕЯТЕЛЬНОСТИ ТЕРРИТОРИАЛЬНЫХ ФОНДОВ ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПО ОБЕСПЕЧЕНИЮ ПРОГРАММ ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ЗА 1997 ГОД ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ,"к Федеральному закону от 3 марта 1999 г. N 44-ФЗ РАСПРЕДЕЛЕНИЕ СУБВЕНЦИЙ НА ВЫРАВНИВАНИЕ УСЛОВИЙ ДЕЯТЕЛЬНОСТИ ТЕРРИТОРИАЛЬНЫХ ФОНДОВ ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ПО ОБЕСПЕЧЕНИЮ ПРОГРАММ ОБЯЗАТЕЛЬНОГО МЕДИЦИНСКОГО СТРАХОВАНИЯ ЗА 1997 ГОД ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ (млн. рублей) ┌─────────────────────────────────────────────────────┬──────────┐ │Республика Адыгея (Адыгея)                           │  2 006,96│ │Республика Алтай                                     │  5 194,34│ │Республика Башкортостан                              │  9 609,50│ │Республика Бурятия                                   │ 15 346,58│ │Республика Дагестан                                  │ 12 985,64│ │Республика Ингушетия                                 │  1 102,76│ │Кабардино - Балкарская Республика                    │  6 076,84│ │Республика Калмыкия                                  │  5 266,35│ │Карачаево - Черкесская Республика                    │  1 094,94│ │Республика Карелия                                   │  8 178,68│ │Республика Коми                                      │  5 283,39│ │Республика Марий Эл                                  │ 10 151,85│ │Республика Мордовия                                  │ 15 412,17│ │Республика Саха (Якутия)                             │  5 703,59│ │Республика Северная Осетия - Алания                  │  3 139,52│ │Республика Татарстан (Татарстан)                     │  8 810,92│ │Республика Тыва                                      │  2 199,65│ │Удмуртская Республика                                │  9 235,11│ │Республика Хакасия                                   │ 13 394,61│ │Чеченская Республика                                 │    148,84│ │Чувашская Республика - Чаваш республики              │ 12 299,13│ │Алтайский край                                       │ 16 448,23│ │Краснодарский край                                   │    837,38│ │Красноярский край                                    │ 20 817,63│ │Приморский край                                      │ 25 307,69│ │Ставропольский край                                  │ 20 683,32│ │Хабаровский край                                     │ 23 693,89│ │Амурская область                                     │ 12 441,56│ │Архангельская область                                │ 23 545,08│ │Астраханская область                                 │ 15 731,06│ │Белгородская область                                 │ 14 210,35│ │Брянская область                                     │ 12 451,91│ │Владимирская область                                 │ 14 281,93│ │Волгоградская область                                │ 19 625,20│ │Вологодская область                                  │ 13 233,49│ │Воронежская область                                  │  8 750,61│ │Ивановская область                                   │  8 255,48│ │Иркутская область                                    │ 15 567,73│ │Калининградская область                              │    303,63│ │Калужская область                                    │ 12 455,80│ │Камчатская область                                   │ 12 147,71│ │Кемеровская область                                  │ 26 442,60│ │Кировская область                                    │    267,66│ │Костромская область                                  │  3 641,32│ │Курганская область                                   │  8 313,02│ │Курская область                                      │ 15 313,21│ │Ленинградская область                                │ 20 151,48│ │Липецкая область                                     │  5 304,64│ │Магаданская область                                  │  4 210,90│ │Московская область                                   │    734,73│ │Мурманская область                                   │ 12 277,73│ │Нижегородская область                                │    485,83│ │Новгородская область                                 │ 14 193,60│ │Новосибирская область                                │ 13 646,31│ │Омская область                                       │  3 530,40│ │Оренбургская область                                 │  5 786,94│ │Орловская область                                    │ 12 082,08│ │Пензенская область                                   │  8 499,77│ │Пермская область                                     │ 10 435,13│ │Псковская область                                    │ 14 137,54│ │Ростовская область                                   │ 27 454,62│ │Рязанская область                                    │ 10 195,05│ │Самарская область                                    │ 15 880,54│ │Саратовская область                                  │ 10 574,10│ │Сахалинская область                                  │ 11 157,11│ │Свердловская область                                 │ 30 454,42│ │Смоленская область                                   │    531,19│ │Тамбовская область                                   │ 17 225,99│ │Тверская область                                     │ 16 704,59│ │Томская область                                      │ 10 225,89│ │Тульская область                                     │ 12 266,86│ │Тюменская область                                    │  6 395,64│ │Ульяновская область                                  │ 10 480,90│ │Челябинская область                                  │ 12 454,41│ │Читинская область                                    │ 15 462,68│ │Ярославская область                                  │    452,97│ │Город Москва                                         │ 21 485,32│ │Город Санкт - Петербург                              │ 15 723,21│ │Еврейская автономная область                         │ 10 042,29│ │Агинский Бурятский автономный округ                  │      8,90│ │Коми - Пермяцкий автономный округ                    │    146,80│ │Корякский автономный округ                           │      2,20│ │Ненецкий автономный округ                            │  3 503,10│ │Таймырский (Долгано - Ненецкий) автономный округ     │      2,90│ │Усть - Ордынский Бурятский автономный округ          │  2 513,70│ │Ханты - Мансийский автономный округ                  │    135,80│ │Чукотский автономный округ                           │  7 447,90│ │Эвенкийский автономный округ                         │  1 001,50│ │Ямало - Ненецкий автономный округ                    │  4 070,40│ │Российская Федерация                                 │896 886,92│ │Нормированный страховой запас                        │ 50 000,00│ │Итого                                                │946 886,92│ └─────────────────────────────────────────────────────┴──────────┘"
Об участии граждан в охране общественного порядка,Статья 28. Вступление в силу настоящего Федерального закона,"Настоящий Федеральный закон вступает в силу по истечении девяноста дней после дня его официального опубликования. Президент Российской Федерации В.ПУТИН Москва, Кремль 2 апреля 2014 года N 44-ФЗ"
"О государственном банке данных о детях, оставшихся без попечения родителей",Глава III. Использование государственного банка данных о детях,ДАННЫХ О ДЕТЯХ
